relationship_id,person_id_a,person_id_b,relationship_type,directed,strength,source,description
REL0000001,P00001,P04477,coworker,false,0.47,shared_team,两人在 Synthetic Commercial 05354 @ OSM commercial W660842583 的同一工作团队任职。
REL0000002,P00002,P04907,coworker,false,0.47,shared_team,两人在 Synthetic Office 03497 @ 1243 Islington Avenue 的同一工作团队任职。
REL0000003,P00002,P06580,coworker,false,0.65,shared_team,两人在 Synthetic Office 03497 @ 1243 Islington Avenue 的同一工作团队任职。
REL0000004,P00002,P09456,coworker,false,0.52,shared_team,两人在 Synthetic Office 03497 @ 1243 Islington Avenue 的同一工作团队任职。
REL0000005,P00003,P00195,coworker,false,0.71,shared_team,两人在 Synthetic University 02382 @ Worksafe Forklift 的同一工作团队任职。
REL0000006,P00003,P00793,coworker,false,0.52,shared_team,两人在 Synthetic University 02382 @ Worksafe Forklift 的同一工作团队任职。
REL0000007,P00003,P04293,coworker,false,0.65,shared_team,两人在 Synthetic University 02382 @ Worksafe Forklift 的同一工作团队任职。
REL0000008,P00004,P00837,coworker,false,0.53,shared_team,两人在 Synthetic Gym 00136 @ The Sand Trap Golf Simulator & Lounge 的同一工作团队任职。
REL0000009,P00006,P00955,coworker,false,0.53,shared_team,两人在 Synthetic Office 04316 @ Sobeys 的同一工作团队任职。
REL0000010,P00007,P02100,coworker,false,0.74,shared_team,两人在 Synthetic Office 05708 @ 150 Consumers Road 的同一工作团队任职。
REL0000011,P00007,P04137,coworker,false,0.69,shared_team,两人在 Synthetic Office 05708 @ 150 Consumers Road 的同一工作团队任职。
REL0000012,P00007,P04919,coworker,false,0.62,shared_team,两人在 Synthetic Office 05708 @ 150 Consumers Road 的同一工作团队任职。
REL0000013,P00007,P05912,coworker,false,0.46,shared_team,两人在 Synthetic Office 05708 @ 150 Consumers Road 的同一工作团队任职。
REL0000014,P00007,P05937,coworker,false,0.46,shared_team,两人在 Synthetic Office 05708 @ 150 Consumers Road 的同一工作团队任职。
REL0000015,P00011,P00438,coworker,false,0.65,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
